chr	start	end	strand	ens_gene	gene_name	target_id	transcript_name	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
chr21	41421329	41435935	+	ENSG00000157601.14	MX1	ENST00000413778.5	MX1-204	0.105031461059344	0.445848336735478	-0.402188033663518	0.248120928055937	3.90255395076893	0.0966495951088431	0.0303354602723777	0.0274525300207118	0.15435652454564	0.15435652454564
chr21	41420366	41423277	+	ENSG00000157601.14	MX1	ENST00000468506.5	MX1-212	0.133899536170332	0.49371074909656	-0.295666314820739	0.19725551020117	4.84786849022392	0.0588566584443017	0.00760596360885379	0.0309107897639754	0.109123245305318	0.109123245305318
chr21	41400865	41404873	+	ENSG00000183486.13	MX2	ENST00000474368.1	MX2-207	0.136627071236499	0.498197984630134	-0.289580900112221	0.194549410807443	5.17660627730695	0.0710080392789238	0.00587271475156065	0.0470789991423144	0.10767570498501	0.10767570498501
chr21	41467734	41531116	-	ENSG00000184012.12	TMPRSS2	ENST00000454499.5	TMPRSS2-204	0.206525049973749	0.590431018161806	-0.686707470876959	0.54363456113762	4.62289066033913	0.934623412143041	0.177852905164072	0.708762703025805	0.113421115756954	0.708762703025805
chr21	41426192	41428070	+	ENSG00000157601.14	MX1	ENST00000484465.1	MX1-214	0.334123592824592	0.708186262317919	-0.306768418126919	0.317617826336658	3.35547159029746	0.105528203549217	0.0414502218787233	0.0463987433173881	0.261193028941747	0.261193028941747
chr21	41466009	41508158	-	ENSG00000184012.12	TMPRSS2	ENST00000458356.6	TMPRSS2-206	0.340582059740111	0.713313400895201	-0.584006052115959	0.612797862631218	8.24451827622829	1.11716598364417	0.011752766357171	1.114810894979	0.0867748750914871	1.114810894979
chr21	41420515	41459214	+	ENSG00000157601.14	MX1	ENST00000398600.6	MX1-203	0.472423017760127	0.800681555908024	0.587909623266659	0.818197729985853	2.90249907132388	0.352707200019357	1.59170426838256	-1.30741766590013	0.416638307679451	0.416638307679451
chr21	41390651	41402200	+	ENSG00000183486.13	MX2	ENST00000496774.5	MX2-213	0.553351760691709	0.842252991722713	-0.459107094431772	0.774543901485066	1.89679324757822	1.08594633061758	0.81317571105483	0.318131455377235	0.986579054928291	0.986579054928291
chr21	41426031	41459213	+	ENSG00000157601.14	MX1	ENST00000455164.6	MX1-210	0.616259033432352	0.87188939234539	-0.734442249555385	1.46548669631852	1.79753522674054	6.0043412696721	0.951017981524804	5.49193578973491	1.05821841303174	5.49193578973491
chr21	41445470	41449785	+	ENSG00000157601.14	MX1	ENST00000486275.1	MX1-215	0.765573279732905	0.929920575520353	-0.0796266795725953	0.267051116379649	3.86305225550608	0.196228198826162	0.0403946363316617	0.173554259947189	0.158818425326904	0.173554259947189
chr21	41450928	41452820	+	ENSG00000157601.14	MX1	ENST00000491110.1	MX1-217	0.873830555181045	0.964526148568277	-0.102856465855178	0.647732000953281	2.14658789357282	0.23294914505789	0.442274909677964	-0.18920468588475	0.816395325498859	0.816395325498859
chr21	41443479	41445486	+	ENSG00000157601.14	MX1	ENST00000467510.1	MX1-211	0.893193209948227	0.97045976277877	-0.0646264570182264	0.481335921024567	2.55591088346645	0.129072190947541	0.113799007405226	0.026927428953051	0.581253799200479	0.581253799200479
chr21	41464305	41508158	-	ENSG00000184012.12	TMPRSS2	ENST00000332149.10	TMPRSS2-201	0.920275875846503	0.978785419782514	-0.0475473967729846	0.475064370835679	8.88684424721782	0.61612426890406	0.00306695254568952	0.673991516766809	0.0863362692442906	0.673991516766809
chr21	41426205	41440899	+	ENSG00000157601.14	MX1	ENST00000417963.5	MX1-205	0.920812235363981	0.979026790739843	-0.0808760104906986	0.813554874478346	2.02486835662967	1.80688807280391	0.926247264661362	1.05936733670107	0.897437055045407	1.05936733670107
chr21	41431714	41459214	+	ENSG00000157601.14	MX1	ENST00000288383.10	MX1-201	0.942929463745957	0.985401092727788	-0.0309017484136086	0.431658537126731	3.86664282390899	0.106966722581377	0.400595038335317	-0.283218118912308	0.15839223968785	0.15839223968785
chr21	41426239	41459212	+	ENSG00000157601.14	MX1	ENST00000398598.8	MX1-202	0.965111430085459	0.991352120181349	0.00918348931079103	0.209954966814082	6.76556237304237	0.120244150193167	0.00192470994310518	0.130318554326602	0.0945337648179609	0.130318554326602
